names,scores,logfoldchanges,pvals,pvals_adj
Eif2b1,-0.6734476,-0.17304334,0.5006625616860249,1.0
Trim37,-0.67444277,-0.42929077,0.5000298639070765,1.0
Pla2g2c,-0.6749111,-0.779152,0.4997322706417724,1.0
mt-Co3,-0.6765794,-23.029219,0.4986728591645454,1.0
Brpf3,-0.6772233,-0.18876047,0.4982642830799372,1.0
Ctnnd1,-0.67728186,-0.10383154,0.4982271486310702,1.0
Ms4a12,-0.6777502,-0.086542286,0.4979301260459804,1.0
Gars,-0.67792577,-0.26098862,0.4978187668754597,1.0
Kmt2c,-0.67801356,-0.13283683,0.4977630922613937,1.0
Dpp4,-0.6782184,-0.3941891,0.4976331977184578,1.0
Btbd2,-0.6804136,-0.28022778,0.4962426036880423,1.0
Dnajc28,-0.68055993,-2.2512734,0.4961499711740244,1.0
Plekha8,-0.68290144,-0.27102453,0.4946691063243328,1.0
Leng1,-0.68377954,-0.2867636,0.4941143917681341,1.0
Top1mt,-0.6843942,-0.81616044,0.49372628967213794,1.0
2010001K21Rik,-0.6867357,-1.2056141,0.49224930146681545,1.0
Ascl2,-0.68743813,-1.2477508,0.49180666756247426,1.0
Sstr2,-0.68901867,-1.6611832,0.4908115227687807,1.0
9130016M20Rik,-0.69346756,-0.49712414,0.4880161940066814,1.0
Col4a6,-0.6953115,-1.0409517,0.4868601262202358,1.0
Hmgb3,-0.69671637,-0.14580536,0.48598030678401316,1.0
Galnt3,-0.6970676,-0.12717023,0.4857604863845125,1.0
Arfgef1,-0.69785786,-0.18241258,0.48526608725603815,1.0
Shank2,-0.6982384,-1.8520143,0.48502814043808984,1.0
Prps2,-0.69853103,-0.38096493,0.4848451474350468,1.0
Rab27a,-0.70116526,-0.13090953,0.4831998947960523,1.0
Abhd11,-0.7019555,-0.11858607,0.48270691075871464,1.0
Mfsd9,-0.70207256,-0.38888887,0.48263389933451395,1.0
Arhgap12,-0.7036531,-0.26388255,0.48164883265886216,1.0
Alpi,-0.70473605,-0.28688756,0.48097451162361504,1.0
Pfkfb2,-0.70605314,-0.4938201,0.480155084795334,1.0
Ndrg3,-0.70707756,-0.17055228,0.47951827936475944,1.0
Mob3b,-0.7078678,-0.26794904,0.4790273444941624,1.0
Gm28512,-0.70859957,-0.7814805,0.4785730199655057,1.0
Heph,-0.7089215,0.082915336,0.4783731917737917,1.0
Espn,-0.7089215,-0.20814694,0.4783731917737917,1.0
1010001N08Rik,-0.70918494,-3.2065873,0.4782097299005287,1.0
Rph3al,-0.7123752,-0.33084708,0.476232450894404,1.0
Ces1f,-0.7136045,-0.63504153,0.4754717610355965,1.0
Mgll,-0.7181412,-0.15052396,0.4726702305538255,1.0
Zfp672,-0.7184046,-0.10543132,0.47250784068930185,1.0
Cyb561,-0.71969247,-0.28252858,0.47171437711929376,1.0
Bfsp1,-0.71972173,-1.0334132,0.4716963523969022,1.0
Slc7a1,-0.7203949,-0.23103884,0.47128188859272513,1.0
Gjb3,-0.7208632,-0.17726354,0.4709936844590592,1.0
Scmh1,-0.7216827,-0.0654753,0.4704895613138246,1.0
Dennd2d,-0.72317547,0.28092396,0.46957210302356545,1.0
Trim16,-0.72759503,-0.062295865,0.46686151466032466,1.0
Cyp2d9,-0.7280926,-0.6456618,0.46655689364161956,1.0
Ephx4,-0.7288243,-0.81006366,0.4661091220053246,1.0
Vdac1,-0.72917557,-0.31833613,0.46589427641041403,1.0
Gm17197,-0.73049265,-1.1332157,0.4650890955183554,1.0
Hip1r,-0.7306976,-0.052715193,0.4649639147338581,1.0
Lyrm9,-0.7314878,-0.36574444,0.4644812501218365,1.0
Adi1,-0.732161,-0.06994187,0.46407031138014687,1.0
Gstm6,-0.7323073,-0.96365166,0.4639810036630504,1.0
Col14a1,-0.73274636,-0.48545033,0.46371313793838065,1.0
Klhdc8a,-0.7333903,-0.9203994,0.46332042406680096,1.0
Blnk,-0.7336537,0.09440515,0.4631598218277927,1.0
Wnk2,-0.73599523,-0.11305511,0.46173361096305787,1.0
Id4,-0.7365806,-0.027359966,0.4613774418147364,1.0
Syt4,-0.7375757,-3.0904086,0.46077230666469704,1.0
Uqcrh,-0.73865867,-0.82686055,0.46011428174078683,1.0
Flywch2,-0.7406197,-0.18212423,0.45892406237962,1.0
Fam160a1,-0.7412051,-0.4097445,0.4585691077028665,1.0
Pde8b,-0.7414685,-0.82554656,0.4584094283297323,1.0
Nit2,-0.74190754,-0.33572692,0.4581433653439482,1.0
Pdk2,-0.74199533,-0.27943045,0.45809016314386863,1.0
Tarbp2,-0.7424344,-0.0004735899,0.4578242041389996,1.0
Gm7694,-0.74337095,-0.8450125,0.45725711464838703,1.0
Mid1ip1,-0.7435759,-0.21818528,0.4571331164277963,1.0
Ccdc90b,-0.74521494,-0.28223264,0.45614181086659344,1.0
Sectm1a,-0.746093,-0.47970054,0.45561125201390384,1.0
Gm16536,-0.7465613,-0.41610938,0.4553284293556875,1.0
Cldn7,-0.74755645,2.4128525,0.45472775949416266,1.0
Naip5,-0.7477613,-0.23985147,0.454604147610572,1.0
Tlcd2,-0.7494882,-0.2800633,0.45356302867119624,1.0
Abcg5,-0.750015,-1.357906,0.4532456671858488,1.0
Slc25a40,-0.7503077,-0.37368986,0.4530694094222102,1.0
Ogdh,-0.75098085,-0.27574474,0.45266416345504845,1.0
Radx,-0.7528834,-0.7035603,0.4515200107187446,1.0
Shroom2,-0.75305897,-0.5494175,0.45141447915328303,1.0
Erg28,-0.7534395,0.0773741,0.4511858753045156,1.0
Mpp3,-0.7536736,-0.716325,0.45104522858159746,1.0
Slc22a18,-0.7546395,-0.33909044,0.4504653232225636,1.0
Coprs,-0.7547273,-0.15418537,0.4504126255020027,1.0
Hoxaas3,-0.75475657,-0.39114064,0.45039506037117716,1.0
Gtf3c6,-0.75560534,0.0034946161,0.4498858403943259,1.0
Arhgap18,-0.75607365,-0.17398453,0.44960503118793704,1.0
Rbm8a2,-0.7563664,-0.6571946,0.4494295759132775,1.0
Clec3b,-0.75657123,-0.49515945,0.4493067803292312,1.0
Cubn,-0.75671756,-1.671,0.4492190808503852,1.0
Pdzk1ip1,-0.7573615,-0.2763375,0.44883331852596753,1.0
Slc52a3,-0.75750786,-0.25712466,0.44874567149833156,1.0
2310030G06Rik,-0.75794685,-0.2790967,0.4484827887131224,1.0
Trmt1,-0.7635372,-0.2423689,0.4451430693134736,1.0
Amt,-0.7635665,-0.86878455,0.4451256212668513,1.0
Ppp1r9a,-0.76514703,-0.43809548,0.4441840059695247,1.0
3100003L05Rik,-0.7651763,-3.008915,0.4441665793786933,1.0
Ovol2,-0.76546896,-0.08791079,0.44399233493674384,1.0
Cry2,-0.76854223,-0.32644412,0.44216512615634684,1.0
Mir17hg,-0.76860076,-0.9712983,0.44213036399253003,1.0
Chrnb4,-0.7689227,-0.7577792,0.44193920004916043,1.0
Cog6,-0.76895195,-0.18237433,0.4419218238551189,1.0
Chka,-0.7695666,-0.31691697,0.4415570141268962,1.0
Slc7a4,-0.7714691,-0.32363206,0.4404289348053303,1.0
Gm15417,-0.77152765,-0.28436857,0.4403942509004575,1.0
Scnn1g,-0.77208376,-1.1632746,0.44006483193570956,1.0
Magi1,-0.7724057,-0.33630973,0.43987418032360115,1.0
Mcu,-0.7724642,-0.24589151,0.4398395214870694,1.0
Hoxd10,-0.772874,-1.1558139,0.43959695351504147,1.0
C530008M17Rik,-0.7731667,-0.20369904,0.43942373770234144,1.0
Hoxa5,-0.7733716,-0.9282665,0.43930250995342013,1.0
Lgals12,-0.7741911,-0.8839776,0.43881779104834995,1.0
Agfg2,-0.7753033,-0.44609568,0.43816045002516935,1.0
Lima1,-0.7756838,-0.19425032,0.437935700256324,1.0
Ptcd2,-0.77705944,-0.16848591,0.4371236968461436,1.0
Glt1d1,-0.777879,-1.0312233,0.43664036245563487,1.0
Fa2h,-0.77799606,-0.11508553,0.43657133982743856,1.0
Atp6v0a2,-0.77834725,-0.19038542,0.43636430966388584,1.0
Rnf32,-0.7793717,-1.2358959,0.4357607949511241,1.0
Myh14,-0.7798107,-0.11338442,0.43550229321846545,1.0
Sgsm2,-0.7812449,-0.26630336,0.4346584709783834,1.0
Abcc10,-0.7826498,-0.25282475,0.43383278579061213,1.0
Plce1,-0.783001,-0.24419138,0.4336265062475687,1.0
Tnfrsf11a,-0.7834108,-0.12498113,0.43338591847078356,1.0
Slc22a23,-0.7834108,-0.28808412,0.43338591847078356,1.0
AA986860,-0.7834986,-0.31161088,0.43333437399308194,1.0
Slc25a23,-0.7850206,-0.22072071,0.43244149992434155,1.0
Stard7,-0.78513765,-0.02978595,0.4323728614539116,1.0
Sinhcaf,-0.78537184,-0.15627974,0.4322356034403686,1.0
Zfp777,-0.78601575,-0.30814117,0.43185827404948784,1.0
Isoc2a,-0.78674746,-0.79276615,0.4314297224112489,1.0
Ipmk,-0.7894695,-0.4871118,0.4298376762926158,1.0
Slc44a4,-0.7905524,0.035274837,0.4292052316564049,1.0
Cachd1,-0.7909329,-0.19079648,0.42898314985029984,1.0
Nox1,-0.7928939,-0.8098351,0.4278396343562336,1.0
1700057G04Rik,-0.79315734,-2.5293746,0.42768616311724583,1.0
Elmo3,-0.793772,-0.10893807,0.4273281882516824,1.0
Hddc2,-0.79412323,-0.04346552,0.42712370957851453,1.0
Tmem56,-0.79465,-0.13996723,0.4268170984928987,1.0
Tph1,-0.79710865,-0.82725114,0.42538794416374515,1.0
4732465J04Rik,-0.7981623,-0.29601118,0.4247763058155697,1.0
Iyd,-0.7994794,-1.0957857,0.42401248096925614,1.0
Slc46a3,-0.8010892,-0.46749598,0.42308000900440046,1.0
