gene,mean_marco_spots,pct_marco_spots,mean_neighbors,pct_neighbors,mean_distant,pct_distant,log2fc_neighbor_vs_distant,pval,padj
Gimap3,0.2032,16.5,0.1022,8.8,0.0759,6.1,0.385,0.010873893595718592,0.03555029833186869
Kctd12,1.0508,53.7,0.6703,41.6,0.511,34.4,0.385,2.4102806792623276e-05,0.0001783387697318287
Snai2,0.1651,12.1,0.0706,5.6,0.0517,4.7,0.384,0.29784047744581454,0.45948302034382327
Tsen15,0.2349,19.4,0.2056,18.0,0.1552,13.5,0.384,0.0017110389520217316,0.00744580058125532
Rai14,0.419,29.2,0.2482,19.3,0.1879,15.9,0.384,0.01565854875871024,0.04776790402223313
Asah1,2.4508,73.7,1.8917,62.9,1.4474,58.3,0.384,0.00028043801567306656,0.0015540718141609246
Tceal1,0.0825,7.6,0.0523,4.9,0.0377,3.5,0.384,0.08474311471908066,0.18122333091984552
Psme2,5.8254,86.3,4.073,81.1,3.1179,74.0,0.384,3.4859967204499193e-09,5.3541240155878706e-08
Gli3,0.1365,11.1,0.0645,5.7,0.0471,4.2,0.384,0.08124901021550235,0.17565629101413466
Tmem132e,0.0508,4.8,0.0462,4.5,0.0331,3.0,0.384,0.043648264647603414,0.10834838881816629
Lyve1,0.1333,7.9,0.0645,6.0,0.0471,3.6,0.384,0.004143570267174476,0.015889312422691926
Ushbp1,0.0889,7.3,0.0706,6.4,0.0517,4.9,0.384,0.08105102620286904,0.17539116619244582
Rasgrp3,0.0952,8.3,0.0462,4.3,0.0331,3.1,0.384,0.12733244088638432,0.24709504521521924
Inpp5b,0.473,33.3,0.3212,25.2,0.2439,21.0,0.384,0.005741111251246097,0.02086389894568663
Hps3,0.1016,7.9,0.1071,9.6,0.0797,7.4,0.384,0.040128211209290776,0.10117690163379328
Ncor2,0.6571,44.1,0.4258,31.6,0.324,25.7,0.384,0.0002628868229391105,0.0014690852675237692
Il15ra,0.3778,25.7,0.1679,14.2,0.1264,11.6,0.383,0.03950437582370399,0.10007089368813626
Hook3,0.3175,27.6,0.2397,19.5,0.1815,15.9,0.383,0.012331527774931522,0.039281423212609134
Hras,1.9397,72.1,1.7944,68.5,1.3736,61.5,0.383,2.4768432348649085e-07,2.827463646850791e-06
Tinf2,0.4476,29.8,0.2701,21.7,0.2048,16.8,0.383,0.0017642694765041124,0.007638710958952968
Pi16,0.4698,32.7,0.3808,20.2,0.2897,15.4,0.383,0.0015909653835219691,0.0070026473336256565
Fendrr,0.4127,30.5,0.2153,18.2,0.1628,13.6,0.383,0.0011698722194264583,0.0053835243285926156
Bscl2,0.7937,47.3,0.7591,48.1,0.5797,39.0,0.383,8.188189767036662e-07,8.419582585682306e-06
Mettl21a,0.2,18.4,0.174,15.2,0.131,11.8,0.383,0.010020894352949663,0.033223101455098505
Rab20,0.8349,43.8,0.4343,30.7,0.3308,25.1,0.383,0.0011193019644891986,0.005199533576524005
Hist1h4h,0.1175,9.5,0.1253,10.5,0.0937,8.1,0.383,0.03720346515676121,0.0956386807162257
Wdr53,0.146,14.0,0.1484,12.3,0.1115,10.1,0.382,0.06396763425285572,0.146105743258214
Arhgap42,0.4286,30.8,0.2932,23.5,0.2226,18.5,0.382,0.0016945287124807736,0.00738055774441999
Pmvk,0.9397,52.4,0.826,48.9,0.6315,40.1,0.382,1.141251453260092e-06,1.1413296747442087e-05
Cpne1,0.4921,32.4,0.3114,25.1,0.2366,20.2,0.382,0.0023031919586581997,0.009593455286549184
Klhl25,0.2635,23.8,0.1606,14.0,0.1209,11.1,0.382,0.022194151613846545,0.0633975853949951
Jade2,0.0889,8.6,0.1058,10.1,0.0789,7.3,0.382,0.01035187283561842,0.03406499245478312
Ddx3y,0.3873,31.1,0.3345,27.0,0.2545,21.6,0.382,0.0010239056506546572,0.004828638444958663
AU020206,0.7746,45.4,0.4428,32.6,0.3376,27.5,0.382,0.001991768696894361,0.008450682482229027
Prrc2a,1.6381,72.1,1.4173,66.7,1.0852,59.6,0.382,5.824206781349997e-08,7.415445126237156e-07
Lrrc8a,0.5175,37.1,0.4185,30.5,0.3189,24.8,0.382,0.0004954822974775458,0.0025655011364424667
Tbx2,0.2635,21.6,0.1606,14.0,0.1209,10.1,0.382,0.0020066802296809915,0.008504057865604224
Klhl18,0.1746,16.5,0.1959,17.0,0.148,13.4,0.382,0.00932218467494369,0.03132657682913482
Evi5l,0.2063,18.7,0.1484,13.4,0.1115,9.9,0.382,0.005938814821456295,0.02149614890572272
Psmd9,0.5016,38.4,0.4416,32.6,0.3367,26.2,0.381,0.00016992939566623416,0.0010017938635014233
Ell2,0.6127,42.9,0.5134,35.6,0.3919,29.1,0.381,0.00015206042593313626,0.0009115504004890679
Cd6,0.073,7.3,0.0328,3.2,0.0229,2.2,0.381,0.12643470299634998,0.24584338371798278
Pop7,0.9333,55.2,0.8175,46.8,0.6255,41.3,0.381,0.00012379118714288717,0.0007586044567836483
Med22,0.3206,23.8,0.3394,26.8,0.2583,21.1,0.381,0.0005095863742144473,0.0026329230829189097
Coro1b,0.0381,3.8,0.0328,3.2,0.0229,2.2,0.381,0.14599849947886515,0.2728805726503883
Dstn,23.2603,97.5,22.68,96.4,17.4126,96.4,0.381,8.176018070998956e-09,1.1811512839004532e-07
Dnal1,0.0476,4.8,0.0389,3.6,0.0276,2.7,0.381,0.1505763335463613,0.2793108673754078
E130309D02Rik,0.2413,21.3,0.2822,22.9,0.2146,18.4,0.38,0.00388502202126365,0.015000358907715776
Slc7a15,0.0159,1.6,0.0146,1.3,0.0089,0.9,0.38,0.26717416909158875,0.42642072863874114
Ly9,0.0317,3.2,0.0207,1.9,0.0136,1.2,0.38,0.13478499052846968,0.25798869169630084
Trpc3,0.0127,1.3,0.0207,2.1,0.0136,1.3,0.38,0.12763481359238546,0.2475501216438251
Gm42418,5.5079,94.0,5.41,89.9,4.1539,86.8,0.38,1.8030960341537055e-12,4.3485907825349945e-11
Zdhhc18,0.819,49.5,0.6813,44.8,0.5212,36.5,0.38,6.062613495889791e-06,5.1791331099840713e-05
Clec1a,0.019,1.6,0.0146,1.3,0.0089,0.9,0.38,0.26717416909158875,0.42642072863874114
Tapbp,4.8857,87.3,3.0292,82.2,2.3261,74.8,0.38,3.491862046272332e-11,7.237181692778352e-10
Zfp105,0.0381,3.8,0.0207,2.1,0.0136,1.2,0.38,0.08408080003257577,0.18025609069575566
Rnf187,1.4286,63.5,1.3637,60.7,1.0454,55.0,0.38,1.205314054002769e-06,1.2012798744504373e-05
Tal1,0.0317,2.9,0.0146,1.5,0.0089,0.8,0.38,0.13075149209405598,0.25192064190471025
Cd46,0.0032,0.3,0.0146,1.5,0.0089,0.9,0.38,0.16558857392788195,0.30077217505063186
Arl10,0.0222,2.2,0.0146,1.5,0.0089,0.8,0.38,0.13075149209405598,0.25192064190471025
Rasl12,0.1206,11.4,0.062,5.7,0.0454,4.0,0.38,0.04419975860920247,0.10938240805069085
Wdfy4,0.2222,19.0,0.1557,13.3,0.1175,10.0,0.379,0.00871857551919477,0.029618797532146888
Grasp,0.1302,12.4,0.1204,11.1,0.0903,8.5,0.379,0.02781116493412745,0.07574999207650804
Fcrls,0.0413,3.5,0.0499,4.3,0.036,3.4,0.379,0.27295632840706774,0.43290280302038325
Rab11a,5.6825,88.6,4.5937,81.6,3.5305,79.8,0.379,0.0002749995880554791,0.0015306162997960524
Trpc1,0.0603,6.0,0.0499,4.6,0.036,3.5,0.379,0.13559990924894755,0.25920847318896817
Kctd5,1.3206,47.9,1.0998,45.3,0.8435,42.6,0.379,0.04254366693632471,0.10622084946405097
Mfsd1,1.2921,58.7,0.7518,47.1,0.5759,38.9,0.379,1.253258862854868e-05,9.932808293272884e-05
Fbln7,0.0349,2.9,0.056,4.6,0.0407,3.5,0.379,0.13710032466156108,0.26118532274935474
Cntn1,0.0825,7.3,0.056,4.9,0.0407,3.1,0.379,0.015903538750338335,0.048293139210444674
Trappc4,1.4635,63.2,1.1776,55.1,0.9033,47.2,0.379,1.235967286075406e-06,1.227637758415674e-05
Mthfsd,0.219,19.4,0.2202,18.6,0.1671,15.4,0.378,0.023715555554820782,0.0666860032955078
Ino80e,0.5683,41.6,0.5146,36.7,0.3936,30.9,0.378,0.0003546903144909496,0.0019132297148752111
