gene,mean_marco_spots,pct_marco_spots,mean_neighbors,pct_neighbors,mean_distant,pct_distant,log2fc_neighbor_vs_distant,pval,padj
Ints4,0.2952,23.2,0.2348,19.0,0.2087,18.2,0.163,0.49859461366188007,0.6504241401824311
A930001C03Rik,0.0254,2.2,0.0292,2.8,0.025,2.5,0.163,0.5941434459775825,0.730089588434957
Cdh17,7.8571,81.6,7.4745,83.9,6.6751,85.7,0.163,0.5984838507969704,0.732916186006277
Man1a2,0.6222,40.6,0.5791,39.5,0.5161,37.1,0.163,0.09204017146929702,0.1933817405230754
Idnk,1.4127,66.3,1.174,58.9,1.0475,52.9,0.163,0.004174014425595724,0.01597666434519077
Hnrnpk,5.4222,93.7,4.3589,91.0,3.8914,90.6,0.163,0.0068838575294171605,0.024255582036156915
Siah1a,0.2032,17.8,0.1764,15.3,0.1565,14.0,0.163,0.3372839034618038,0.5004382179592413
Mak16,0.3397,26.7,0.2956,24.7,0.2629,21.4,0.163,0.057292315411825404,0.13407412576967834
Pcdh1,0.8254,47.3,0.7238,42.9,0.6455,41.1,0.163,0.21706351608256202,0.3678910167453435
Trim59,0.1238,11.4,0.1046,9.9,0.0925,8.6,0.162,0.2700479425968889,0.4299257534567601
Tada1,0.2667,23.2,0.247,20.7,0.2197,18.8,0.162,0.2237006330699397,0.3757789474008163
Podn,0.1587,14.0,0.1131,9.9,0.1001,8.9,0.162,0.39513238537598727,0.5574721170973729
Phf1,0.3524,27.9,0.2835,23.8,0.2523,20.7,0.162,0.058588366431676274,0.1365813795501819
Rbm7,0.8508,52.7,0.5779,38.7,0.5153,36.2,0.162,0.10965978996209357,0.21975635150898326
Rrp1,1.1651,63.5,1.0061,56.1,0.8982,52.2,0.162,0.01925127776307174,0.05650681831441958
Grk6,0.8762,49.2,0.7153,44.9,0.6383,42.8,0.162,0.1613619717318927,0.2948938539003064
Bdh2,0.0349,3.5,0.0377,3.3,0.0327,3.2,0.162,0.8743470898268696,0.9242548544246246
Hsp90aa1,2.6667,86.0,1.9732,72.0,1.7625,70.2,0.162,0.017697435840503383,0.05282800457217367
Zfp777,0.1587,14.3,0.2105,18.5,0.187,16.4,0.162,0.17270454237594468,0.3104129068498902
Psenen,3.073,82.5,2.7372,78.0,2.4449,74.6,0.162,0.01024513789599415,0.03379760502836325
Snap29,0.3556,27.9,0.2409,18.9,0.2142,17.5,0.162,0.3396863428525535,0.502877782930358
Gm31597,0.0762,6.7,0.0377,3.5,0.0327,3.2,0.162,0.6251721930373417,0.7538659636731798
Cirbp,0.3778,29.8,0.3954,31.3,0.3524,27.7,0.162,0.04960297397998104,0.12000613386534628
Zcchc4,0.0667,5.7,0.0657,6.3,0.0577,5.7,0.162,0.49305956777044724,0.6452804873386488
Meak7,0.0825,8.3,0.0961,8.4,0.0848,7.8,0.162,0.5925760215938871,0.7288440302686005
Atg3,0.8476,52.4,0.6204,38.8,0.5534,38.4,0.162,0.43675132002442996,0.5965994509780815
Irf2bpl,0.3968,30.2,0.4063,31.0,0.3622,26.5,0.162,0.021487235038117555,0.06178956374481144
Ppp2r5e,0.3968,33.0,0.3869,29.6,0.3448,26.4,0.162,0.07018193457762834,0.1574067087362392
Parp16,0.1746,15.6,0.163,14.1,0.1446,13.2,0.162,0.4731209187923193,0.6283731409155955
Scai,0.054,5.1,0.0572,5.5,0.05,4.7,0.162,0.3578043108110254,0.5220200678975774
Abhd2,1.2,59.0,1.1995,60.0,1.0708,53.4,0.162,0.0011047717283109923,0.005146782978220207
E2f4,0.8317,48.9,0.6521,43.3,0.5818,39.5,0.162,0.04051745841838111,0.10196451117326642
Fblim1,0.9206,54.3,0.9051,50.9,0.8079,48.2,0.162,0.076194458178613,0.16718120335183967
Wipi1,0.3619,25.4,0.1606,13.4,0.1425,12.9,0.162,0.6918974126228863,0.8021194301271678
Swap70,0.3206,24.8,0.2445,21.5,0.2176,18.9,0.162,0.10761658623909942,0.21703297993292325
Zfp41,0.0444,4.4,0.0377,3.5,0.0327,3.2,0.162,0.6251721930373417,0.7538659636731798
Rbm8a,1.2794,61.3,1.0547,53.9,0.9419,53.3,0.162,0.16592827930694276,0.30124158548998153
Ndufs5,4.8635,86.3,4.3309,84.7,3.869,83.1,0.162,0.05043644428347743,0.12145868271005435
Abraxas2,0.2254,18.7,0.2105,17.9,0.187,15.8,0.162,0.16999304879788846,0.3067979788947336
Tspan7,0.5143,37.1,0.5852,37.6,0.5225,34.4,0.161,0.08517470500389462,0.18187971911485826
Hmgn2,0.6286,32.4,0.4112,29.1,0.3668,26.3,0.161,0.14720333660620094,0.2745901156252976
Nt5c2,0.3302,25.1,0.2421,20.6,0.2154,17.6,0.161,0.07330288639626648,0.16262162314245462
Htt,0.3937,28.9,0.281,23.6,0.2502,21.4,0.161,0.1642432674097496,0.29896126681333035
Pef1,1.2222,62.2,1.2178,56.8,1.0878,54.6,0.161,0.05864703948647596,0.13669631839411672
Vps26a,0.673,41.9,0.472,34.5,0.4211,31.0,0.161,0.06186720249332431,0.14235993559061583
Cdk2ap1,0.8508,45.7,0.6119,40.8,0.5462,36.7,0.161,0.04268357838148744,0.10648119412577049
Uspl1,0.2476,20.0,0.1922,16.8,0.1709,15.3,0.161,0.2832594423696525,0.44436496329594666
Gtf3a,0.5587,40.0,0.5049,35.6,0.4504,32.9,0.161,0.10328425239470282,0.21050712762831522
Zfp335os,0.0381,3.5,0.0182,1.8,0.0153,1.5,0.161,0.5580982277933748,0.6999493933069565
Acot8,0.8254,48.6,0.9148,50.1,0.8172,48.0,0.161,0.13459967276112897,0.2577354101387969
Smurf1,0.3333,25.7,0.2141,17.0,0.1904,16.1,0.161,0.4755240548594176,0.6307037073405838
Cenpc1,0.1619,13.7,0.1302,11.8,0.1154,10.4,0.161,0.266709325238188,0.4260050098029996
Capn1,1.0762,57.8,1.0195,57.3,0.9109,52.8,0.161,0.00828845387541447,0.028449030932997534
Dctn5,0.9968,54.0,0.8516,49.6,0.7604,47.4,0.161,0.104455839755258,0.21225396800198557
Gm44751,0.0349,3.2,0.0182,1.8,0.0153,1.5,0.161,0.5003022949590493,0.6517611455847728
Hbp1,0.654,44.8,0.6217,41.8,0.5551,37.5,0.161,0.01740917366249618,0.05218102976776536
Pomt2,0.1111,10.8,0.1217,10.7,0.1077,9.7,0.161,0.38143573359686145,0.5460147933789665
Jun,1.8032,72.1,1.3686,58.9,1.2231,52.8,0.161,0.001134496003778685,0.005255057520995173
Arhgef3,0.2762,23.5,0.253,21.3,0.2252,18.7,0.161,0.10518482054270216,0.21315996063035655
Tbc1d20,1.2667,66.7,1.0584,58.8,0.9453,53.4,0.161,0.00995246401389024,0.03303375851380175
Impa2,0.2444,18.4,0.2397,19.7,0.2133,17.9,0.161,0.2324948165624594,0.3868891821776717
Sap130,0.2159,19.7,0.1752,15.8,0.1556,13.6,0.161,0.12716088564845082,0.2468854940188607
Slc26a10,0.0286,2.5,0.0182,1.8,0.0153,1.4,0.161,0.4438318525562406,0.6030998128252323
Xylt2,0.2476,23.2,0.2117,18.2,0.1883,16.8,0.161,0.3079585457790356,0.47015574788384
Kremen2,0.4444,29.8,0.4635,29.0,0.4135,28.0,0.161,0.4679173267839679,0.6232774981837571
Rps19bp1,0.7651,47.9,0.6095,39.7,0.5441,37.7,0.161,0.2877109411145574,0.4486949916419952
Sfrp2,0.054,5.1,0.0462,4.1,0.0403,3.6,0.161,0.4840756708387317,0.6378295874119436
Tor1b,0.5937,40.6,0.3929,31.6,0.3503,28.1,0.161,0.04841569840343024,0.1176604689214608
Hs1bp3,0.1968,16.8,0.1837,15.9,0.1633,14.5,0.161,0.29312013289495675,0.45430152523127476
Armcx3,0.3175,25.7,0.2397,20.6,0.2133,17.8,0.161,0.08968044955902361,0.18969664243486714
Atmin,0.1968,18.7,0.1983,17.6,0.1764,16.0,0.16,0.2733063336859163,0.4332695257291617
Zc3h10,0.1651,15.6,0.1703,15.5,0.1514,13.4,0.16,0.15825561195879279,0.2902712299296977
Tbc1d2,0.4127,30.5,0.4818,32.4,0.43,31.0,0.16,0.23169396010806187,0.3857864397965001
Slc36a4,0.1778,15.2,0.1533,12.9,0.1361,12.1,0.16,0.529337741970209,0.6759239832788196
Pmf1,0.3016,23.5,0.2543,20.7,0.2265,19.4,0.16,0.39695353973770786,0.5593383967467789
Mrpl58,0.9079,54.6,0.7202,43.4,0.6433,41.3,0.16,0.1501364252356845,0.27870745300430944
Wdr83os,1.3048,63.5,1.0925,56.8,0.9767,53.5,0.16,0.06585508168671558,0.1494619733965072
Cr1l,0.6413,41.9,0.573,38.0,0.5119,36.0,0.16,0.19435563220951535,0.3390534468638257
Dus4l,0.0381,3.8,0.0353,3.4,0.0305,3.0,0.16,0.5312269428496258,0.6773689000366067
Cnot8,0.5841,41.9,0.4513,33.8,0.4029,31.8,0.16,0.17523563310945867,0.3136100972280279
2610002M06Rik,0.273,23.2,0.2859,23.0,0.2549,21.5,0.16,0.2790062211145291,0.4395357128354669
Creb1,0.327,27.0,0.2713,22.6,0.2417,19.9,0.16,0.09847753807284569,0.2032370237653312
Me2,0.8921,45.1,1.0572,49.9,0.9453,48.6,0.16,0.22460602817646413,0.37683036932783726
Trappc3,1.0032,53.0,0.7372,44.2,0.6586,39.9,0.16,0.03882734461190617,0.09896135065720923
Etaa1os,0.0222,2.2,0.0268,2.4,0.0229,2.3,0.16,0.8078522897486807,0.8828831368229346
Kcna6,0.0286,2.5,0.0268,2.7,0.0229,2.0,0.16,0.28448960504599363,0.44585468449078824
Spty2d1,0.2444,21.9,0.1959,17.6,0.1743,15.4,0.16,0.13892315138519823,0.2637641772103354
Bcap31,2.0286,76.5,1.837,72.0,1.6429,68.6,0.16,0.006578699335106942,0.023343823443226018
Tmem108,0.0381,3.8,0.0268,2.7,0.0229,2.2,0.16,0.40048969442282345,0.5628549548488941
Ddx10,0.1206,11.1,0.1119,10.1,0.0992,9.1,0.159,0.385995874888278,0.5501138709215535
Mrpl38,0.5683,39.4,0.5024,34.8,0.4491,34.4,0.159,0.5001941408968529,0.6516950361484044
Tnpo1,0.6889,48.9,0.7263,48.2,0.6493,43.9,0.159,0.03161083041292212,0.08372285991986024
Trib1,0.7841,48.3,0.5061,34.9,0.4521,31.7,0.159,0.06429725820721006,0.14679413151328463
Pign,0.2063,18.7,0.1484,13.0,0.1319,12.2,0.159,0.49848658123236156,0.6503995087866751
Cenpf,0.0762,7.0,0.0864,8.0,0.0763,7.1,0.159,0.3912910984270942,0.5547884964677613
Alas1,2.7175,80.0,2.0657,68.1,1.8486,62.8,0.159,0.0007391475324938588,0.0036484782295730356
Tsn,0.6762,45.4,0.5681,38.3,0.5076,37.1,0.159,0.29772144327304184,0.45944511674214206
Snrnp27,1.0286,54.6,0.7324,43.4,0.6548,40.5,0.159,0.08941388112255236,0.18932490777233513
Zfp746,0.2508,21.6,0.2214,19.0,0.1972,17.2,0.159,0.2508736061785839,0.4073555294626884
Imp3,1.1873,57.8,1.0925,58.2,0.9771,53.6,0.159,0.03407313704964423,0.08902746776892377
Kmt2c,0.2476,19.4,0.292,23.4,0.2604,21.1,0.159,0.16914931114547793,0.3056418079162438
Cttn,2.5079,79.4,2.2725,71.5,2.0348,71.2,0.159,0.18893732533794572,0.3321776135547942
Mcat,0.2603,21.3,0.1934,16.9,0.1722,15.1,0.159,0.2194351300925519,0.3705761554606973
Gpatch11,0.2635,21.6,0.2299,18.6,0.2048,17.3,0.159,0.363037310113023,0.5273872353503702
Ddx3x,1.9079,76.5,1.4866,68.5,1.3308,64.1,0.159,0.008352988002996418,0.028595299450090414
Vapa,3.2571,82.9,2.8394,79.4,2.5424,77.4,0.159,0.013870563637448303,0.043402400607765
Rps7,24.5619,98.7,20.2786,97.9,18.1556,98.0,0.159,0.001501105084455959,0.006663408666655582
Dhx16,0.5048,37.5,0.5134,36.9,0.4589,35.0,0.159,0.2058678575727826,0.35365359090700593
Ankhd1,0.1111,10.2,0.118,10.7,0.1047,9.6,0.158,0.3506902103795576,0.5148572745614298
Dennd3,0.2794,22.5,0.1606,15.3,0.1429,12.9,0.158,0.09224667984649769,0.193664936063345
Zbtb40,0.1397,12.7,0.0839,7.9,0.0742,7.3,0.158,0.5235240076030717,0.6712778846149919
Bmt2,0.1905,17.5,0.1521,13.7,0.1353,12.1,0.158,0.22655746238736685,0.3792428038255835
Yipf4,0.9302,52.1,0.8358,48.3,0.7481,46.1,0.158,0.12089596940773532,0.23685280706624684
Eif4g3,0.7175,45.1,0.4866,35.5,0.4351,32.2,0.158,0.05926016492924014,0.1379081904313747
Fbxl8,0.2063,16.5,0.1521,13.5,0.1353,11.7,0.158,0.1888537571929505,0.3321409972006429
Traf4,0.6159,40.6,0.6423,41.0,0.5746,39.1,0.158,0.12946439899907294,0.25030012532071994
Zfp397,0.1397,12.7,0.1204,11.1,0.1069,9.9,0.158,0.32574370366575567,0.48850002990525343
6230400D17Rik,0.0286,2.9,0.0328,3.2,0.0284,2.7,0.158,0.5047982795598085,0.655644623202525
Cdkn3,0.1619,12.4,0.1545,12.2,0.1374,11.6,0.158,0.61244973716248,0.7443776855425027
Acacb,0.2,15.9,0.1776,15.5,0.1582,13.8,0.158,0.24104535316347375,0.39642614382419356
Mlph,0.4254,27.3,0.4732,32.0,0.4232,31.1,0.158,0.4229493174867487,0.5842284605825337
Prr14,0.6,42.5,0.4818,35.4,0.4309,31.6,0.158,0.0437135238496893,0.10845840327137637
Prr15,0.1238,9.8,0.1861,15.1,0.1658,13.7,0.158,0.30059427466081523,0.4619729367575263
Fam221b,0.0222,2.2,0.0328,3.2,0.0284,2.7,0.158,0.5047982795598085,0.655644623202525
Bank1,0.0317,3.2,0.0328,2.9,0.0284,2.4,0.158,0.3930923147070954,0.556315224431739
Ints5,0.2349,18.7,0.2457,20.9,0.2193,18.9,0.158,0.206901053484301,0.3551639142811101
Mrpl28,1.6508,68.9,1.5061,67.4,1.3486,64.5,0.158,0.019086302139633027,0.05612419075360449
Pou2af1,0.0667,6.0,0.0584,4.7,0.0513,4.5,0.158,0.7597912020412999,0.8524500906562558
Zc3h7a,1.3206,62.2,0.944,47.0,0.8456,48.3,0.157,0.7624304841974137,0.8539050018663156
Gm30794,0.0222,2.2,0.0158,1.5,0.0131,1.2,0.157,0.6144681295641832,0.7460230053645363
Kcnip3,0.0317,3.2,0.0158,1.6,0.0131,1.3,0.157,0.5729145010105686,0.7124080010435663
Rabgap1l,0.2508,20.6,0.2664,22.0,0.2379,19.7,0.157,0.15308561645126342,0.2829582251887997
Desi1,0.6508,42.2,0.5949,40.0,0.5327,37.5,0.157,0.13945159931869658,0.26452655819801113
Snx3,3.4286,78.7,2.7956,77.1,2.5068,74.3,0.157,0.11248583172519894,0.22412765481461808
Phykpl,0.0984,9.5,0.1071,10.0,0.095,8.9,0.157,0.33722935837689216,0.5004382179592413
Ccsap,0.0127,1.3,0.0158,1.5,0.0131,1.3,0.157,0.7538256321151531,0.8486281766987269
Med28,2.1968,73.0,1.9732,70.0,1.7693,67.3,0.157,0.06166005585031666,0.14210738823439747
Slc25a1,1.4286,60.6,1.4367,62.9,1.288,60.6,0.157,0.027725382958018355,0.07555865945843217
Chp2,0.2508,16.8,0.1983,14.1,0.1768,13.0,0.157,0.39766651703301126,0.5600185455099573
Nup35,0.1714,14.6,0.1582,13.9,0.1408,12.6,0.157,0.33080470618033164,0.4936358629451032
Atp10b,1.2286,46.3,1.2567,52.1,1.1264,53.7,0.157,0.7571093940155,0.8509621350777357
Med30,0.5016,37.1,0.4173,29.0,0.3732,28.3,0.157,0.534703380466738,0.6804340680612397
Ccnq,0.4349,34.0,0.326,25.7,0.2913,23.0,0.157,0.12118407907274854,0.23724633003494885
Ndufs4,2.9365,79.0,2.6557,73.7,2.3808,71.9,0.157,0.1606532359564592,0.2940036831607546
Fam173a,1.4,64.4,1.3114,63.3,1.1756,61.7,0.157,0.07831098120756473,0.17084861345687455
St3gal4,2.3683,70.5,2.2421,71.0,2.0093,63.4,0.157,0.0007110624611139033,0.0035277498708306573
Scn3a,0.0063,0.6,0.0243,2.4,0.0208,1.9,0.157,0.3224272192887583,0.4853539210401601
Hcfc1r1,3.2825,78.4,3.3552,77.7,3.0081,73.2,0.157,0.0007176325123180643,0.003555509673084169
Pbx2,0.3841,31.7,0.32,26.2,0.2858,23.5,0.157,0.13272270880922013,0.25511224400412735
Eif3e,1.0286,54.3,0.8771,49.6,0.7854,48.0,0.157,0.167541881649089,0.3034244964082382
Sap30,0.1905,15.6,0.1557,13.9,0.1387,11.7,0.157,0.10953777492542287,0.21962234216268808
Dnajc8,0.9048,50.5,0.6971,46.0,0.6243,41.6,0.157,0.02914996532059446,0.07851710245390323
Emc2,0.7238,46.7,0.6168,39.2,0.5522,36.0,0.157,0.05330748971996372,0.12680441210882432
Gm44040,0.0286,2.2,0.0243,2.3,0.0208,2.0,0.157,0.6336850726357577,0.7602175080470868
BC037704,0.0159,1.6,0.0158,1.5,0.0131,1.3,0.157,0.7538256321151531,0.8486281766987269
Clk3,0.9651,57.5,0.6448,42.3,0.5772,39.6,0.157,0.11598982702331756,0.2292924490038242
Skiv2l,0.8571,53.7,0.6387,42.2,0.5717,39.6,0.157,0.08893220423916735,0.18841437375543646
Gins1,0.0825,7.9,0.073,6.9,0.0645,6.1,0.156,0.3789224338880025,0.5434300405798943
Lipo3,0.1429,13.3,0.1363,12.3,0.1213,11.3,0.156,0.4197303368481904,0.580941504928092
Synj1,0.473,32.7,0.3187,26.8,0.285,23.3,0.156,0.055614859734357966,0.13086218648347317
Prmt9,0.1175,10.8,0.0876,8.4,0.0776,7.5,0.156,0.3880946666407069,0.5522958432609534
Ulk1,0.4063,26.7,0.2968,24.1,0.2655,22.0,0.156,0.1920704533608365,0.3361086916924463
Nr2c2ap,0.4286,33.0,0.365,29.8,0.3265,25.7,0.156,0.02776901709319154,0.07564931448968593
Lyrm4,0.1206,11.7,0.1217,11.3,0.1081,9.9,0.156,0.2510308837170444,0.40756555294485314
B9d1,0.1524,13.0,0.1277,11.6,0.1137,10.3,0.156,0.29893341774130255,0.4603416884710655
Iah1,0.9429,53.7,0.8017,47.6,0.7184,43.8,0.156,0.037498730781165425,0.09628130259473576
Slc35a4,0.8921,49.8,0.8893,51.8,0.7969,50.2,0.156,0.1480542619659205,0.2755784840342832
Ddx55,0.146,12.4,0.1363,12.3,0.1213,11.0,0.156,0.30722562865265146,0.4693465760308698
Setd3,1.1841,58.1,1.1691,57.9,1.0483,57.4,0.156,0.1802161546292097,0.3205539791584782
Casc4,0.1111,10.2,0.1277,11.8,0.1137,10.4,0.156,0.2653432377424695,0.4245200857346899
Mlh3,0.0635,6.3,0.0474,4.6,0.0416,4.1,0.156,0.49716605375658907,0.6493152426031499
Dtx3l,0.6032,35.6,0.3929,28.2,0.3516,25.2,0.156,0.08247992126680269,0.17779059406174
Pnn,0.4762,34.6,0.5012,36.3,0.4487,33.6,0.156,0.11285634889097651,0.22463436809582546
Cand2,0.0444,4.1,0.056,5.4,0.0492,4.6,0.156,0.4026913485580319,0.5651855970383074
Elmo1,0.2952,22.9,0.1703,15.0,0.1518,13.6,0.156,0.3023369522615653,0.4640646402744056
Aasdh,0.0603,5.1,0.0474,4.6,0.0416,4.0,0.156,0.4331407614547239,0.5935903869997066
Eloc,2.6381,73.7,1.8881,70.1,1.6934,66.5,0.156,0.025383520915929148,0.07054684832082328
Mpzl1,1.527,61.0,0.736,46.0,0.6599,43.6,0.155,0.14523862030620735,0.271990228514377
Vps41,0.4413,32.4,0.444,32.1,0.3978,30.6,0.155,0.26271880007109905,0.4211987706666747
Sf3b2,1.473,69.2,1.2178,60.1,1.0929,59.5,0.155,0.061803920154139345,0.1422827675651946
Fkbpl,0.0667,6.3,0.0706,6.7,0.0623,6.0,0.155,0.488398391046706,0.6416550444590751
Tent4a,0.3048,24.4,0.2226,20.2,0.1989,17.2,0.155,0.0729495564582397,0.16201019456349702
Dusp12,0.1524,13.0,0.1192,10.3,0.106,9.6,0.155,0.5236717878931276,0.6713139217315608
Wfdc2,1.3302,59.4,1.4428,57.9,1.2952,58.3,0.155,0.5969265468509135,0.7323067519040944
Bud13,0.0857,8.3,0.0852,7.8,0.0755,7.1,0.155,0.5186343276050264,0.6674363621524907
Ywhaz,6.781,95.6,5.9258,93.2,5.3223,92.7,0.155,0.016348545976781433,0.04938236812062205
Mapk1ip1l,1.327,62.9,1.1959,55.8,1.0729,54.3,0.155,0.15499259460649198,0.28543871918729796
Arhgef5,0.8698,47.0,0.8443,45.9,0.7574,45.0,0.155,0.3505135201183365,0.5146767406708914
Cox14,5.0571,90.5,4.719,86.9,4.2379,85.9,0.155,0.010059132774344537,0.03332715856277501
Tra2a,1.2254,61.6,0.9672,53.2,0.8677,51.7,0.155,0.14571033319021937,0.2725717271254475
Lzts2,0.5841,41.6,0.5645,39.3,0.5059,36.3,0.155,0.0872981185853681,0.18573444856796528
1700066M21Rik,0.0698,6.3,0.0535,5.2,0.0471,4.6,0.155,0.48052478746047045,0.6353193130394501
Rsrc1,0.1492,14.0,0.1253,10.6,0.1115,10.2,0.155,0.6929058740653602,0.8030333287122852
C130074G19Rik,0.2921,23.8,0.2713,21.0,0.2426,19.6,0.155,0.326752409948619,0.48959174507704867
Srgap2,0.2794,22.2,0.1423,12.9,0.1268,11.8,0.155,0.39003051876305417,0.5538753934071715
Phf20,0.1556,14.6,0.0852,7.9,0.0755,7.0,0.155,0.40797563830931616,0.570298193003567
Abl2,0.1937,16.8,0.1144,10.7,0.1018,9.5,0.154,0.3184475119061069,0.48115021706761996
Ptger3,0.0349,3.5,0.045,4.3,0.0394,3.2,0.154,0.1669149455651202,0.30250353629867954
Ndufs8,2.673,78.7,2.4404,75.3,2.1917,74.0,0.154,0.02547562088599015,0.07074891213313328
Ap2a2,1.2032,63.5,0.9939,58.8,0.8923,51.7,0.154,0.0027035906616471347,0.010969992031171674
Fbxo5,0.073,7.0,0.0681,6.4,0.0602,5.7,0.154,0.4229860501400786,0.5842284605825337
Nvl,0.1905,16.2,0.1837,16.2,0.1641,14.8,0.154,0.3169525242928538,0.479427312818071
Edem1,2.0921,77.5,1.438,66.5,1.2913,63.6,0.154,0.03229781253468499,0.08514135188682723
Cerk,0.6127,42.2,0.3856,30.5,0.3456,27.3,0.154,0.0950968901701001,0.19799639333218189
Rbm33,0.2381,19.7,0.2409,21.4,0.2154,18.6,0.154,0.09156627443277073,0.19256896947946925
Fam83b,0.0254,2.5,0.0219,2.2,0.0187,1.9,0.154,0.5632736020356099,0.7041402610779288
Elmsan1,0.2794,23.5,0.2299,19.0,0.2057,17.9,0.154,0.39759747569945936,0.5599753636998852
Asxl2,0.2063,16.8,0.1861,16.1,0.1662,15.1,0.154,0.4533866264075448,0.6108650409393864
Selenot,1.6127,70.8,1.4903,67.6,1.338,64.5,0.154,0.029871801048048558,0.07997421084258284
Cand1,0.6794,47.3,0.5961,42.1,0.5348,37.6,0.154,0.03926046424013556,0.09969534175562443
1700096K18Rik,0.0921,7.9,0.0998,8.6,0.0886,7.9,0.154,0.5106539377683262,0.660662493879912
Parpbp,0.0222,1.9,0.0219,2.1,0.0187,1.9,0.154,0.7130497421520481,0.8171621730867527
Man2b1,0.8317,47.6,0.6971,43.8,0.6255,40.8,0.154,0.06554247193906376,0.148984297875507
Lsm12,0.3937,28.6,0.3905,29.0,0.3503,25.8,0.153,0.07036521458222765,0.15771103624720179
Rai1,0.2698,22.2,0.2105,18.1,0.1883,16.9,0.153,0.38389625106244907,0.5481387806294348
Usp8,0.4952,38.1,0.3321,25.9,0.2977,24.2,0.153,0.2417577978967147,0.39723964291790137
Tespa1,0.0286,2.5,0.0134,1.3,0.011,1.1,0.153,0.5877274540919407,0.7251421683287254
Gpr22,0.0127,1.3,0.0134,1.3,0.011,0.9,0.153,0.2707681593381721,0.4306213350004691
Hsd17b12,1.2476,54.9,1.1204,58.3,1.0064,54.3,0.153,0.03154557407981909,0.08361152977268671
Psmc1,1.2,59.7,0.927,56.0,0.8329,49.9,0.153,0.0017992050271913719,0.007769221826501719
Zfp869,0.2508,22.5,0.219,18.0,0.1959,17.4,0.153,0.6265812010152074,0.7550124951699473
Aasdhppt,0.3333,28.6,0.2774,22.3,0.2485,20.9,0.153,0.3588783428170448,0.5231685383198622
B3galt6,0.146,12.1,0.1058,9.7,0.0941,8.3,0.153,0.20473693457043585,0.35265217947317073
Samd4b,0.4444,32.1,0.326,25.8,0.2922,24.2,0.153,0.28879233249326774,0.44994863036938276
Tbca,4.5937,81.6,3.8954,77.7,3.5034,78.1,0.153,0.8798051631072892,0.9281709622816618
Dnd1,0.0159,1.6,0.0134,1.2,0.011,1.1,0.153,0.7880818622796187,0.8707708282664256
Napa,1.6857,73.0,1.4599,65.3,1.3117,59.7,0.153,0.0008961142003804486,0.004303884890635657
Sec23a,0.6349,43.8,0.6277,39.9,0.5636,36.7,0.153,0.06621261537875331,0.15013337544543737
Diaph1,1.4857,67.0,1.0061,57.4,0.9042,50.1,0.153,0.0033793857742759428,0.013290732569396302
Tasor2,0.1746,14.9,0.1204,11.1,0.1073,10.2,0.153,0.4479939321453139,0.6060336977500719
Adss,0.6889,41.9,0.6217,39.8,0.5581,37.5,0.153,0.12160317499805817,0.23800294116655493
Tbc1d5,0.1079,9.8,0.1265,11.1,0.1128,10.1,0.153,0.40451354722025024,0.5668658370853846
Utp3,0.5302,35.2,0.3577,28.3,0.3206,25.4,0.153,0.10282349101025147,0.209978664426953
Gm12166,0.073,6.7,0.0742,6.9,0.0657,6.3,0.153,0.5285704710959204,0.6753390318529399
Zdhhc24,0.0921,8.6,0.0949,8.8,0.0844,8.0,0.152,0.47427700588368693,0.62937354964836
Mettl6,0.327,25.7,0.1764,15.2,0.1578,14.1,0.152,0.4226190653274682,0.5840533038637136
Mrpl23,1.6032,71.7,1.4708,65.6,1.3227,62.3,0.152,0.03850308232126827,0.09836395593938338
Alms1,0.0349,3.2,0.028,2.8,0.0242,2.2,0.152,0.33982436559876716,0.5030310762353264
Mvd,0.7333,44.1,0.6277,39.9,0.564,38.6,0.152,0.22248366808481868,0.3745297477665337
Sri,6.2857,91.1,5.5158,84.4,4.9644,86.6,0.152,0.5124426130358777,0.6620960034363315
March5,0.9429,51.7,0.5925,37.6,0.5322,36.9,0.152,0.47992513123602065,0.6349825525811369
Cltb,2.4794,76.8,2.4209,75.7,2.1777,74.6,0.152,0.011844709467564328,0.03802555684075492
Rock1,0.6984,46.7,0.5669,41.1,0.5093,37.4,0.152,0.0509978305929225,0.12241991731508413
Rhebl1,0.0921,7.9,0.0426,3.6,0.0373,3.6,0.152,0.9819533487357082,0.9898495930847137
Tsc2,0.3873,30.2,0.41,30.5,0.3681,28.7,0.152,0.31071892232045173,0.4728514596972999
Nostrin,0.9746,41.6,0.9623,40.9,0.8651,41.2,0.152,0.9243318609315833,0.9545563155816216
Sbno1,0.4825,34.9,0.4234,32.0,0.38,29.5,0.152,0.14042744358582898,0.26572128509412923
2810403D21Rik,0.0444,4.4,0.0426,4.0,0.0373,3.5,0.152,0.47913852591968775,0.6342428421491413
Vma21,0.6635,43.8,0.5645,37.3,0.5072,35.9,0.152,0.24488748035756824,0.4003533026215438
Exoc5,0.546,37.1,0.5073,34.8,0.4555,32.7,0.152,0.13170965300261667,0.2534815250528165
Ghrl,0.0159,1.3,0.028,2.1,0.0242,2.0,0.152,0.8955995111894471,0.9385687328711645
Zfp324,0.0635,6.0,0.0572,5.6,0.0505,4.7,0.152,0.31728540784397463,0.4797918318842817
Rbbp7,1.0667,55.9,0.9489,54.6,0.8528,51.6,0.152,0.04953386633266641,0.11987869359096627
Ecsit,0.2413,19.7,0.2263,19.2,0.2027,17.3,0.152,0.21352039137005496,0.363542555387459
