names,scores,logfoldchanges,pvals,pvals_adj
TIMP2,3.7064245,1.0829124,0.0002102058040707866,0.02090086085966844
LDHA,3.7055662,0.7357871,0.0002109190270088589,0.02090086085966844
AHNAK,3.7018466,0.83576614,0.00021403600236026806,0.0210992677951708
S100A12,3.6975548,2.1852627,0.00021768624735573586,0.021347915045088147
AIF1,3.6901157,0.5611196,0.0002241521552855732,0.021868700222113627
ATP1B3,3.6866822,0.7672907,0.00022719683792931313,0.021939564038204643
KYNU,3.6772401,0.9949049,0.00023577107731940328,0.02231219590212173
BNIP3L,3.667798,0.88087654,0.00024464824568904764,0.022923056169092106
TCN2,3.6657953,1.4353513,0.0002465711569298791,0.022979263207331062
CD68,3.64405,0.7009563,0.00026838127891339053,0.02442140608650838
CAPN2,3.6423333,1.2512224,0.0002701780036819105,0.024467268304724975
TMED5,3.6211603,1.0860636,0.00029328481937317325,0.02581861291291186
BTG1,3.6194434,0.66340435,0.0002952372893560851,0.02586507061852279
FCGR1A,3.618299,1.3861055,0.0002965456926200373,0.02586507061852279
GRB2,3.597412,0.59532946,0.00032139908029882417,0.027650547240072026
MTPN,3.5859673,0.7582535,0.0003358311695915347,0.028761432338728403
GK,3.5662248,1.2225133,0.0003621607663466078,0.030600967967152882
ATP6V0C,3.5610745,1.6499019,0.00036934013998587284,0.030931419599613343
LRP1,3.5496297,1.1936358,0.0003857733704643869,0.032024265713944955
LY96,3.5307457,0.8537366,0.00041439001957851795,0.03424960655267515
NUP214,3.5261676,1.1583565,0.000421619899675783,0.03469565148331976
LUCAT1,3.5061393,2.2923646,0.00045465744591680253,0.037091816719255696
GNS,3.4975555,1.2956147,0.000469543005533877,0.038141804573990086
LTA4H,3.4944081,1.1580918,0.0004751140492836845,0.03842941714013802
MAP1LC3B,3.487255,0.76496315,0.0004880056233143661,0.039304180563706416
CARD16,3.4695156,0.8785743,0.0005213979011745636,0.04181566981157189
ADAM10,3.4520621,1.2615699,0.000556319675708166,0.04419669202201116
CCL4,3.4512038,1.667417,0.0005580921114418908,0.04419669202201116
TNFAIP3,3.4391866,0.91377485,0.0005834648960736011,0.046013500366604364
VAPA,3.4380422,0.55743575,0.0005859365500917216,0.04601668499413284
EPB41L3,3.4286,0.9935767,0.0006067027718422908,0.0472554047846051
H3F3A,3.4131496,0.33242953,0.0006421670269353437,0.04981268573280841
LILRB3,3.4105744,0.9973459,0.0006482619339375998,0.050080218871987554
H3F3B,3.397985,0.36076075,0.0006788413265208692,0.05180818462524391
HIF1A,3.3922627,0.73706806,0.0006931797194111149,0.052690010238129206
SLC25A37,3.3782427,1.4414575,0.0007295068674279068,0.05479117650717457
LILRA2,3.3682284,1.8046998,0.0007565290905003547,0.05644435298767264
VIM-AS1,3.367656,1.7125024,0.0007581009461922913,0.05644435298767264
KLF3,3.3667977,1.1742325,0.0007604644165402083,0.05644435298767264
AGFG1,3.3476276,1.6819086,0.0008150646675509277,0.059793523111381426
MYL6,3.3310325,0.3439831,0.0008652450403522359,0.06274518344347421
