names,scores,logfoldchanges,pvals,pvals_adj
Slc35c2,-0.5434807,-0.024614759,0.5867988646289475,1.0
Tyw3,-0.54432243,-1.0596232,0.5862196264516407,1.0
Unc13d,-0.54474324,-0.060761094,0.585930106839822,1.0
Gm15247,-0.5451848,-0.73821735,0.585626419901315,1.0
Iqcd,-0.5460679,-1.9809861,0.5850192653537187,1.0
4930555A03Rik,-0.5463301,-2.173135,0.5848390726817244,1.0
Anp32e,-0.54659915,1.2509296,0.5846541649322026,1.0
Rpl39l,-0.5471718,-1.7729827,0.5842607338403822,1.0
Gm26901,-0.54756504,-1.5009671,0.583990617603938,1.0
Mocos,-0.5485309,-0.34930438,0.5833274211216379,1.0
Ddx41,-0.54895866,0.2359372,0.583033832026687,1.0
2610306M01Rik,-0.54895866,-0.7459696,0.583033832026687,1.0
Mios,-0.54904145,-0.14204264,0.5829770162916038,1.0
Hist1h3d,-0.54948986,-0.59006476,0.5826693092801527,1.0
Dhx16,-0.54948986,0.026123766,0.5826693092801527,1.0
Tdp1,-0.54960024,-0.023534343,0.582593577642022,1.0
Fat3,-0.55054545,-2.062809,0.5819453136483246,1.0
4933431E20Rik,-0.5507524,-2.1786118,0.5818034030258628,1.0
Stab2,-0.5509939,-2.8413875,0.5816378610775974,1.0
Smyd4,-0.5509939,-0.14220826,0.5816378610775974,1.0
Adat1,-0.55290496,-0.44485638,0.580328492234504,1.0
Gm43256,-0.5532844,-0.93206084,0.5800686736850618,1.0
Zfp747,-0.5534431,-0.26351988,0.57996003846346,1.0
Aifm2,-0.553657,-0.20878197,0.579813632172642,1.0
Lrmda,-0.5539329,-0.43615758,0.5796247464454809,1.0
4732471J01Rik,-0.55452627,-1.7880355,0.5792187399132778,1.0
Utf1,-0.5549126,-2.136092,0.5789544353610196,1.0
Gm33370,-0.55542314,-1.263649,0.5786052626817301,1.0
Rev1,-0.5567271,0.19027448,0.5777139062508743,1.0
Tmem183a,-0.5568237,-0.06368952,0.5776479055671923,1.0
Zfp189,-0.55758256,-0.85211986,0.5771294523118567,1.0
Zcchc9,-0.55786544,0.026116522,0.5769362667456027,1.0
Cops7b,-0.55789304,-0.056355003,0.5769174210051293,1.0
Ablim2,-0.5584174,-0.8258951,0.576559407075131,1.0
Dpyd,-0.5584726,-2.436475,0.5765217274941208,1.0
Zkscan4,-0.5584726,-2.436475,0.5765217274941208,1.0
Ston1,-0.5591901,-1.396692,0.5760319986583715,1.0
1700001L05Rik,-0.5593074,-1.4101013,0.5759519655056236,1.0
Xrcc6,-0.55955577,0.025521947,0.5757825008661419,1.0
Zfp937,-0.55957645,-1.503913,0.5757683798757726,1.0
Ighmbp2,-0.56045264,-0.26744288,0.5751707413436733,1.0
Agpat1,-0.560839,-0.06534403,0.5749073088851333,1.0
Palb2,-0.5610046,-0.26958326,0.5747944267303421,1.0
Zfp867,-0.56111497,-0.98006094,0.5747191777854851,1.0
Cmpk1,-0.5614875,0.3557785,0.5744652470096043,1.0
Nr1h3,-0.56175655,1.1076907,0.574281885590562,1.0
4930599N23Rik,-0.56257755,-2.173135,0.5737225695107223,1.0
4732491K20Rik,-0.56266034,-2.2629287,0.5736661822203699,1.0
Cnot9,-0.5638263,0.08790378,0.5728723403130634,1.0
Dazap1,-0.56403327,0.2642458,0.5727314761344888,1.0
Nt5dc3,-0.56411606,-0.10412215,0.5726751350670369,1.0
Ipo7,-0.5647508,0.14430553,0.5722432743182922,1.0
Kdr,-0.5661789,-0.6105459,0.5712721537171945,1.0
Hspe1-rs1,-0.566241,-0.5926019,0.5712299488776719,1.0
Pex12,-0.5662824,-0.38439628,0.5712018131423524,1.0
Gsta4,-0.5663859,-3.0783677,0.5711314766895603,1.0
Dph7,-0.56650317,-0.37415543,0.5710517670268088,1.0
Gm47079,-0.56670326,-1.9809861,0.5709158039429901,1.0
Gm31805,-0.56675154,-2.010909,0.5708829875769585,1.0
Gm14403,-0.5667999,-2.0971653,0.5708501721091227,1.0
Gm15261,-0.5671448,-1.1805396,0.5706158020358998,1.0
Gm26964,-0.5671586,-1.5514832,0.5706064281864811,1.0
Rars2,-0.56834525,-0.15575558,0.5698005516963798,1.0
Riox1,-0.5688006,-0.1758402,0.5694914642202982,1.0
Ift122,-0.5688489,-0.27875856,0.5694586869094185,1.0
Parp11,-0.5689386,-0.038489994,0.5693978171496217,1.0
Slc52a3,-0.56917316,-0.91677815,0.5692386340015104,1.0
Bola2,-0.5694146,0.21384881,0.5690747911942959,1.0
Tomm70a,-0.56982166,0.10397466,0.5687986500290957,1.0
Asb1,-0.56996655,-0.2313414,0.5687003779481845,1.0
Gm48065,-0.5701528,-0.22145218,0.56857404005382,1.0
Zfp11,-0.5704633,-2.5955598,0.5683635067139692,1.0
Rsph3a,-0.5712015,-1.1382099,0.5678630549659797,1.0
Gm13075,-0.5712912,-0.9028269,0.5678022667871261,1.0
Guf1,-0.5714568,-0.12650795,0.5676900506399589,1.0
D030028A08Rik,-0.57158095,-0.4420301,0.5676058954972509,1.0
Gm43258,-0.5719742,-1.3070716,0.567339443623079,1.0
Arhgef4,-0.57278144,-0.8207414,0.5667927038690683,1.0
Vsig10,-0.57283664,-0.3571493,0.5667553291825556,1.0
Stk16,-0.5731333,0.010498725,0.56655446048937,1.0
9230112E08Rik,-0.57385767,-0.8040199,0.5660641107017992,1.0
Pdzd11,-0.5738991,0.01836853,0.5660360968679026,1.0
Taf10,-0.57442343,0.3308795,0.5656813125856779,1.0
Zfp605,-0.5745545,-0.4675721,0.5655926332065706,1.0
Isyna1,-0.5746028,0.059695397,0.5655599635398496,1.0
Dars2,-0.57479596,-0.14242,0.5654292939391518,1.0
Gstt1,-0.57498914,-0.07104259,0.5652986388468004,1.0
Srsf10,-0.5751271,0.7050332,0.5652053226653049,1.0
Qars,-0.5756032,0.15322848,0.5648834386897823,1.0
Gm39459,-0.57581013,-0.65639144,0.564743516638891,1.0
Mab21l2,-0.57604474,-1.5920782,0.5645849584725551,1.0
Mfsd3,-0.5763966,-0.46471825,0.5643471613939057,1.0
Dusp28,-0.5777419,-0.30580023,0.5634383821217048,1.0
Zfp14,-0.57820415,-1.0093858,0.5631262978079132,1.0
Gm43259,-0.5784387,-0.6550847,0.5629679585604936,1.0
Gm31019,-0.5784732,-3.5961702,0.5629446751888258,1.0
Pcdhga9,-0.5785077,-1.9504371,0.5629213922817702,1.0
Ccdc61,-0.58058435,-0.18516706,0.5615206178514986,1.0
Zfp119a,-0.58073616,-0.5976951,0.5614183018092958,1.0
Tchh,-0.5809362,-1.3327527,0.5612834444419124,1.0
Capn5,-0.5810742,-0.43598276,0.5611904484928646,1.0
Gm35853,-0.58132255,-0.33641618,0.5610230745744015,1.0
Dgkh,-0.5819711,-0.14937913,0.5605861566156088,1.0
B3gat2,-0.582185,-0.7459696,0.5604421027962403,1.0
Cldn7,-0.5825023,-0.049064297,0.5602283785702145,1.0
Apol8,-0.5828404,-0.6980919,0.5600007592629581,1.0
Mcm3ap,-0.58291626,-0.06185988,0.5599496672140452,1.0
Ndufaf1,-0.58317846,-0.19009352,0.5597731848000536,1.0
Wdr55,-0.5832957,-0.12954225,0.559694240875696,1.0
Cd109,-0.5833371,-1.4577582,0.5596663796035235,1.0
Mcts2,-0.5842409,-0.7501738,0.5590582429111799,1.0
Mdn1,-0.5845997,0.12597387,0.5588169341296005,1.0
B230303O12Rik,-0.5853448,-0.9660988,0.5583159160693011,1.0
Tubd1,-0.58635896,-0.57955676,0.5576343259066376,1.0
Bace1,-0.5864279,-0.7348572,0.557587973943646,1.0
Cse1l,-0.58709717,0.23752588,0.5571384572428673,1.0
Ccn2,-0.58731794,-0.68995106,0.55699020180213,1.0
Tmc4,-0.5874628,-0.5264759,0.5568929196152516,1.0
Qprt,-0.5878078,-1.2038318,0.5566613286882449,1.0
Slc25a13,-0.5880147,-0.16939947,0.5565223966691164,1.0
Sec61a2,-0.58950496,-0.09897591,0.5555225854800945,1.0
Hnrnpl,-0.5898223,0.28818965,0.5553097760706849,1.0
Gm6710,-0.5900224,-0.91677815,0.5551756340870176,1.0
Zfp647,-0.5909193,-1.6024603,0.5545745025911293,1.0
Bbs2,-0.5926993,-0.44481477,0.553382431395858,1.0
Pias2,-0.5932719,-0.04820376,0.552999202736489,1.0
Sla2,-0.5934582,-0.49484378,0.5528745660475665,1.0
Mcpt4,-0.593948,-0.9899982,0.5525468834750977,1.0
Plxdc1,-0.5940101,-0.655589,0.5525053530539004,1.0
Gm4788,-0.5947207,-3.5254302,0.5520301695577876,1.0
Glb1l2,-0.5947621,-3.6302931,0.5520024951528305,1.0
Dgcr8,-0.5947897,-0.020580979,0.5519840459280456,1.0
Uckl1,-0.5958798,-0.05627498,0.5512555438654441,1.0
Capza1,-0.5964179,0.14241956,0.5508960779788494,1.0
P2ry1,-0.5971906,-0.9635834,0.5503801235860999,1.0
Ccdc14,-0.5974045,-0.61894894,0.5502373568325476,1.0
Cbarp,-0.59763217,-0.14666751,0.5500853993639414,1.0
Pno1,-0.598122,-0.06245664,0.5497585306666766,1.0
Fam57a,-0.5982531,-1.020484,0.5496710750003233,1.0
B430305J03Rik,-0.5989223,-3.0783677,0.5492246977098243,1.0
Btbd17,-0.5989844,-3.2925897,0.5491832903265677,1.0
Dus1l,-0.5993984,0.033955954,0.5489072804656,1.0
Pcdhgb5,-0.5994259,-2.1519642,0.5488888822425403,1.0
Iba57,-0.5997088,-0.3656587,0.5487003180050596,1.0
Nme6,-0.60072297,-0.36084682,0.5480245092129583,1.0
Ulk4,-0.6007299,-0.27130318,0.5480199132832679,1.0
Dapp1,-0.6008403,0.10744026,0.5479463809988352,1.0
Tspan9,-0.60095066,-0.83789676,0.5478728535912409,1.0
Cacna1f,-0.6015509,-1.1321274,0.5474731336914818,1.0
9430015G10Rik,-0.6023857,-0.2596911,0.5469174413450899,1.0
Focad,-0.60250294,-0.13662924,0.5468393912434896,1.0
Zfp668,-0.6026961,-0.2445811,0.5467108501580664,1.0
Cdv3,-0.6027858,0.6504722,0.5466511754550829,1.0
Psmd11,-0.603117,0.12921873,0.546430866039584,1.0
Snx10,-0.60332394,-0.0033669777,0.5462931949964128,1.0
Pak1ip1,-0.60339296,0.022339055,0.5462473084685671,1.0
Cfhr2,-0.60344815,-1.9318708,0.5462106006216063,1.0
Gm29093,-0.60353094,-1.1210637,0.5461555411435254,1.0
Klhl3,-0.60353786,-1.4414372,0.5461509529778612,1.0
Frg1,-0.6038897,0.16484144,0.5459169818647785,1.0
Rttn,-0.60401386,-0.13954142,0.5458344156922839,1.0
Bbs5,-0.60413116,-0.5583481,0.5457564422158312,1.0
Ubiad1,-0.6045934,-0.47909096,0.5454491887855828,1.0
Miip,-0.6047038,-0.09596355,0.5453758275300814,1.0
Vamp4,-0.6050212,0.04363933,0.5451649411990876,1.0
Gm26716,-0.6051384,-1.1493531,0.5450870151920924,1.0
Mzt1,-0.60526955,0.08140586,0.5449999279643738,1.0
Fam76b,-0.60653895,0.34443435,0.5441569145061865,1.0
Bud23,-0.60654587,0.00073641003,0.5441523346832698,1.0
Card10,-0.60660106,-0.8036379,0.5441156967898856,1.0
Cdk15,-0.606877,-4.6305966,0.5439325257237617,1.0
Prima1,-0.606877,-4.663939,0.5439325257237617,1.0
Igflr1,-0.6072703,-0.2601302,0.5436715599564064,1.0
Pgm5,-0.60730475,-2.5262687,0.5436486711948624,1.0
Pop1,-0.6077187,-0.2375181,0.543374043462383,1.0
Ino80c,-0.60804296,-0.020176023,0.5431589666527972,1.0
2810021J22Rik,-0.6088778,-0.93206084,0.5426054534007143,1.0
Gm45311,-0.60904336,-1.0786579,0.5424956990682959,1.0
Trappc2,-0.6096574,-0.040280867,0.5420887900546887,1.0
Mtrf1l,-0.6097402,-0.12853736,0.5420339375673522,1.0
Ankrd9,-0.6109889,-0.6125905,0.5412069152050856,1.0
Zfp128,-0.6116098,-2.4013097,0.5407959233580193,1.0
A930029G22Rik,-0.61298966,-1.0118556,0.5398831669839264,1.0
Anxa9,-0.61383826,-0.9469195,0.5393222049820069,1.0
Cd27,-0.6139969,-0.21447688,0.5392173420609381,1.0
Sugp2,-0.6142246,-0.035766497,0.5390669044105099,1.0
Zfp949,-0.6146455,-0.24256243,0.5387888780779322,1.0
Sec22c,-0.6146524,-0.263969,0.5387843208681938,1.0
Cnot6,-0.6146524,0.28477186,0.5387843208681938,1.0
Ehhadh,-0.61503875,-0.18826354,0.5385291479697718,1.0
Ephb3,-0.61571485,-2.1786118,0.538082741296524,1.0
4930426I24Rik,-0.6157838,-1.5499066,0.5380372000398408,1.0
Sem1,-0.6157907,0.57084787,0.5380326460205804,1.0
Mtus2,-0.6158459,-1.570529,0.5379962145630142,1.0
Atrip,-0.6158666,-0.15796311,0.5379825530856731,1.0
Gm47551,-0.6162185,-1.0516135,0.5377503346172596,1.0
Dnajc27,-0.6168325,-0.22422321,0.5373452112202691,1.0
Pcdhac2,-0.61897814,-23.181513,0.5359307605926991,1.0
Gnb1l,-0.61963356,-0.77238554,0.5354990678039064,1.0
Hectd2os,-0.6198474,-2.0118318,0.5353582375563112,1.0
Gm10501,-0.6202614,-1.2250689,0.5350857159203577,1.0
Slc30a9,-0.62043387,0.078514144,0.5349721858857936,1.0
Wwox,-0.6213514,-0.14306396,0.5343684103811979,1.0
Galnt3,-0.62235874,-0.61259156,0.5337060154791238,1.0
Snrpd1,-0.6223656,0.92856264,0.5337014799586397,1.0
Il17a,-0.6224967,-0.80266416,0.533615308769755,1.0
Cstf1,-0.6233108,-0.09506816,0.5330802978019016,1.0
Slc25a15,-0.6235868,-0.25240472,0.5328989997377138,1.0
Gm43914,-0.62377995,-1.4128085,0.5327721096543063,1.0
Gm12708,-0.62409043,-1.9174159,0.5325682111957477,1.0
9230116N13Rik,-0.6242767,-0.45412555,0.5324458910811773,1.0
Cd209c,-0.62468374,-1.6079015,0.5321786484821835,1.0
Zfp251,-0.62469065,-0.1832374,0.5321741195320968,1.0
Slx4,-0.62474585,-0.11551095,0.5321378886340977,1.0
Gm28112,-0.6249114,-1.6548893,0.5320292034360656,1.0
Rab5if,-0.62520117,0.10942836,0.5318390313997488,1.0
A730071L15Rik,-0.6259532,-1.4940432,0.5313456504220755,1.0
Nebl,-0.62698805,-0.3308323,0.5306670654314452,1.0
